x,Proteome_ID,Tax_ID,OSCODE,SUPERREGNUM,#(1),#(2),#(3),Species Name
1858,UP000547976,42677,GIBSU,eukaryota,14039,0,14062,Gibberella subglutinans (Fusarium subglutinans)
1866,UP000011096,1213859,COLFN,eukaryota,17182,0,17383,Colletotrichum fructicola (strain Nara gc5) (Anthracnose fungus) (Colletotrichum gloeosporioides (strain Nara gc5))
1870,UP000070168,5078,PENPA,eukaryota,9628,0,9631,Penicillium patulum (Penicillium griseofulvum)
1888,UP001175261,5046,SARSR,eukaryota,9923,46,10017,Sarocladium strictum (Black bundle disease fungus) (Acremonium strictum)
1892,UP000307440,230819,COPMA,eukaryota,14526,0,14545,Coprinopsis marcescibilis (Agaric fungus) (Psathyrella marcescibilis)
1898,UP000001996,379508,LODEL,eukaryota,5779,0,5796,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239) (Yeast) (Saccharomyces elongisporus)
1910,UP001147782,2100454,None,eukaryota,12811,0,12846,Penicillium cataractarum
1927,UP000256690,1810919,None,eukaryota,11569,0,11603,Aspergillus mulundensis
1928,UP000567885,42747,FUSHE,eukaryota,11330,0,11332,Fusarium heterosporum
1931,UP001152649,1612424,None,eukaryota,10048,1393,12911,Penicillium salamii
1939,UP000509704,42260,ZYGMR,eukaryota,5020,0,5041,Zygotorulaspora mrakii (Zygosaccharomyces mrakii)
1940,UP000007431,578458,SCHCM,eukaryota,13124,4,13194,Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus)
1943,UP000014074,1286976,PHAM7,eukaryota,8833,0,8834,Phaeoacremonium minimum (strain UCR-PA7) (Esca disease fungus) (Togninia minima)
1954,UP001149079,126998,None,eukaryota,10371,0,10402,Penicillium bovifimosum
1963,UP000002762,655819,BEAB2,eukaryota,10363,0,10363,Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)
1966,UP001149163,189055,None,eukaryota,10808,0,10816,Penicillium canariense
1982,UP000001745,441959,TALSN,eukaryota,12468,553,13037,Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)
1998,UP000053758,84753,PSEA2,eukaryota,4672,0,7802,Pseudozyma antarctica (Yeast) (Candida antarctica)
1999,UP001154252,1303716,None,eukaryota,10627,0,10635,Penicillium egyptiacum
2004,UP000326565,41062,None,eukaryota,12743,0,12743,Aspergillus leporis
2005,UP000042958,104259,PENBI,eukaryota,11426,507,12734,Penicillium brasilianum
2009,UP000006706,425011,ASPNC,eukaryota,14069,0,14078,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
2016,UP001202479,497107,None,eukaryota,4871,0,4872,Candida oxycetoniae
2023,UP000011715,644358,MAGP6,eukaryota,11206,97,11306,Magnaporthiopsis poae (strain ATCC 64411 / 73-15) (Kentucky bluegrass fungus) (Magnaporthe poae)
2025,UP000217790,47427,ARMGA,eukaryota,25522,0,25695,Armillaria gallica (Bulbous honey fungus) (Armillaria bulbosa)
2037,UP000248349,1450539,None,eukaryota,10061,0,10064,Aspergillus saccharolyticus JOP 1030-1
2041,UP000249402,1448316,None,eukaryota,11680,0,11680,Aspergillus ibericus CBS 121593
2066,UP000077248,5599,ALTAL,eukaryota,13463,0,16969,Alternaria alternata (Alternaria rot fungus) (Torula alternata)
2069,UP000596902,1187904,None,eukaryota,11309,0,11314,Alternaria burnsii
2078,UP000624244,45130,COCSA,eukaryota,10748,0,10755,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana)
2129,UP000018087,1391915,SPOS1,eukaryota,8673,0,8674,Sporothrix schenckii (strain ATCC 58251 / de Perez 2211183) (Rose-picker's disease fungus)
2166,UP000000689,1071378,NAUDC,eukaryota,5523,0,5548,Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)
2167,UP000730481,44412,None,eukaryota,14518,0,14521,Fusarium beomiforme
2174,UP000016934,665912,COCSN,eukaryota,12174,0,12214,Cochliobolus sativus (strain ND90Pr / ATCC 201652) (Common root rot and spot blotch fungus) (Bipolaris sorokiniana)
2179,UP000248423,1448318,ASPSB,eukaryota,12562,0,12569,Aspergillus sclerotiicarbonarius (strain CBS 121057 / IBT 28362)
2201,UP000596276,332952,ASPFN,eukaryota,13708,0,13709,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)
2207,UP000694255,561895,None,eukaryota,6132,0,6134,[Candida] subhashii
2208,UP000193240,105696,EPING,eukaryota,12021,0,12025,Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)
2221,UP000008837,425265,MALGO,eukaryota,4270,1,4283,Malassezia globosa (strain ATCC MYA-4612 / CBS 7966) (Dandruff-associated fungus)
2229,UP000054988,221103,MONRR,eukaryota,19789,0,20100,Moniliophthora roreri (Frosty pod rot fungus) (Monilia roreri)
2242,UP000037696,229535,None,eukaryota,12938,0,12944,Penicillium nordicum
2244,UP001152087,195108,None,eukaryota,14678,245,14924,Fusarium falciforme
2245,UP000288168,1325734,None,eukaryota,16262,0,16263,Fusarium duplospermum
2247,UP000030653,1858805,DACPD,eukaryota,10233,0,10240,Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus)
2254,UP000053927,721885,STEHR,eukaryota,1613,0,1616,Stereum hirsutum (strain FP-91666) (White-rot fungus)
2257,UP001146351,69766,None,eukaryota,10686,0,10739,Penicillium capsulatum
2276,UP000569620,1101274,None,eukaryota,13547,0,13556,Fusarium sp. NRRL 52700
2279,UP000184499,767769,ASPBC,eukaryota,12981,1,12990,Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)
2296,UP000184304,767770,ASPTC,eukaryota,12318,1,12319,Aspergillus tubingensis (strain CBS 134.48)
2297,UP000015100,1284197,DACHA,eukaryota,10959,0,10959,Dactylellina haptotyla (strain CBS 200.50) (Nematode-trapping fungus) (Monacrosporium haptotylum)
2320,UP000013521,1287680,BOTPV,eukaryota,10365,0,10366,Botryosphaeria parva (strain UCR-NP2) (Grapevine canker fungus) (Neofusicoccum parvum)
2354,UP000015530,1237896,COLGC,eukaryota,16388,0,16389,Colletotrichum gloeosporioides (strain Cg-14) (Anthracnose fungus) (Glomerella cingulata)
2373,UP000626568,2692428,None,eukaryota,16532,0,16533,Fusarium sp. NRRL 66182
2376,UP000053319,732165,DICSQ,eukaryota,7183,0,7192,Dichomitus squalens (strain LYAD-421) (Western red white-rot fungus)
2379,UP000737391,1803897,None,eukaryota,13309,0,13310,Fusarium agapanthi
2380,UP000015241,2126942,FOMSC,eukaryota,13805,1,13852,Fomitopsis schrenkii (Brown rot fungus)
2384,UP001153618,99116,PENOL,eukaryota,9525,0,9526,Penicillium olsonii
2393,UP000676310,119953,None,eukaryota,11884,54,12227,Alternaria atra
2394,UP000218381,290292,None,eukaryota,11231,0,11231,Penicillium occitanis (nom. inval.)
2399,UP000218811,742152,WOLCO,eukaryota,12196,0,12212,Wolfiporia cocos (strain MD-104) (Brown rot fungus)
2406,UP000037136,268505,OPHUN,eukaryota,8572,0,8577,Ophiocordyceps unilateralis (Zombie-ant fungus) (Torrubia unilateralis)
2407,UP000030753,660029,None,eukaryota,17279,3488,20768,Fusarium oxysporum NRRL 32931
2417,UP000027002,1159556,USTVR,eukaryota,8297,0,10431,Ustilaginoidea virens (Rice false smut fungus) (Villosiclava virens)
2423,UP000002489,660025,FUSOF,eukaryota,16626,0,17681,Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)
2432,UP000192386,1974281,None,eukaryota,18035,0,18892,Rachicladosporium sp. CCFEE 5018
2438,UP000018888,747089,RHIID,eukaryota,26006,5,29630,Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) (Arbuscular mycorrhizal fungus) (Glomus intraradices)
2441,UP000236664,42673,GIBNY,eukaryota,16018,0,16019,Gibberella nygamai (Bean root rot disease fungus) (Fusarium nygamai)
2464,UP000654370,91625,MORIS,eukaryota,9021,0,9033,Mortierella isabellina (Filamentous fungus) (Umbelopsis isabellina)
2465,UP000016801,1111077,CLAP2,eukaryota,8814,0,8817,Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum)
2483,UP000000598,284590,KLULA,eukaryota,5048,0,5079,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)
2486,UP000794436,41045,PYTOL,eukaryota,14742,0,14954,Pythium oligandrum (Mycoparasitic fungus)
2492,UP000001067,861557,PYRTT,eukaryota,11705,0,11799,Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)
2498,UP000054771,454130,ASPCI,eukaryota,15115,244,15384,Aspergillus calidoustus
2501,UP001165120,5477,CANBO,eukaryota,6988,0,6991,Candida boidinii (Yeast)
2510,UP001152049,1237075,None,eukaryota,14532,0,14533,Fusarium torreyae
2524,UP000449547,5481,DIURU,eukaryota,5811,0,5815,Diutina rugosa (Yeast) (Candida rugosa)
2536,UP000009097,426428,FUSO4,eukaryota,19727,3374,24305,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)
2549,UP000230249,498019,CANAR,eukaryota,5418,0,5502,Candidozyma auris (Yeast) (Candida auris)
2550,UP000006968,1160507,SACAR,eukaryota,3653,0,3659,Saccharomyces arboricola (strain H-6 / AS 2.3317 / CBS 10644) (Yeast)
2552,UP000249829,1450538,ASPV1,eukaryota,12074,0,12080,Aspergillus violaceofuscus (strain CBS 115571)
2558,UP000242180,13706,SYNRA,eukaryota,11037,0,11121,Syncephalastrum racemosum (Filamentous fungus)
2562,UP000184546,690307,ASPA1,eukaryota,10843,0,10847,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)
2566,UP000574317,42672,None,eukaryota,13892,0,13896,Fusarium napiforme
2567,UP000006701,344612,ASPCL,eukaryota,9140,0,9140,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
2568,UP000219338,47428,ARMOS,eukaryota,22192,0,22297,Armillaria ostoyae (Armillaria root rot fungus)
2578,UP000030663,1089458,None,eukaryota,19288,3466,22772,Fusarium oxysporum f. sp. raphani 54005
2584,UP000008142,544711,AJEC8,eukaryota,9445,0,13044,Ajellomyces capsulatus (strain H88) (Darling's disease fungus) (Histoplasma capsulatum)
2585,UP001199106,48097,None,eukaryota,11684,0,11837,Alternaria panax
2594,UP000641853,1287682,None,eukaryota,10242,0,14979,Aspergillus felis
2598,UP000011777,1245528,CANMX,eukaryota,5976,0,5984,Candida maltosa (strain Xu316) (Yeast)
2599,UP001213681,63821,None,eukaryota,12804,0,12848,Penicillium daleae
2600,UP000287544,1325737,None,eukaryota,15273,0,15274,Fusarium sp. AF-6
2603,UP000016800,1279085,GIBF5,eukaryota,14792,0,14810,Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
2614,UP000070700,149040,MOLSC,eukaryota,18561,0,18567,Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis)
2615,UP000544331,1567541,None,eukaryota,15662,0,15666,Fusarium mundagurra
2618,UP000001744,402676,SCHJY,eukaryota,4852,0,4878,Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)
2621,UP000094065,1295533,None,eukaryota,8246,1631,9880,Cryptococcus amylolentus CBS 6039
2626,UP000054317,717944,TRAVS,eukaryota,1022,0,1030,Trametes versicolor (strain FP-101664) (White-rot fungus) (Coriolus versicolor)
2630,UP000473826,5417,VANHU,eukaryota,4373,0,4375,Vanrija humicola (Yeast) (Cryptococcus humicola)
2633,UP000027238,1173701,COLSU,eukaryota,12697,0,12699,Colletotrichum sublineola (Sorghum anthracnose fungus)
2654,UP000053732,1429867,PENC3,eukaryota,14391,0,14418,Penicillium camemberti (strain FM 013)
2658,UP000006753,1072389,MARBU,eukaryota,10037,0,10038,Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)
2662,UP000094389,983966,CYBJN,eukaryota,5994,0,7420,Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542) (Torula yeast) (Candida utilis)
2664,UP000541154,209559,PETAA,eukaryota,12705,0,14912,Petromyces alliaceus (Aspergillus alliaceus)
2673,UP001147733,5077,PENCI,eukaryota,11663,0,11679,Penicillium citrinum
2675,UP000001640,27288,NAUCA,eukaryota,5565,0,5601,Naumovozyma castellii (Yeast) (Saccharomyces castellii)
2681,UP000007963,341663,ASPTN,eukaryota,10417,0,10419,Aspergillus terreus (strain NIH 2624 / FGSC A1156)
2686,UP000184300,1160497,None,eukaryota,11244,1,11255,Aspergillus glaucus CBS 516.65
2690,UP000054516,77044,ROSNE,eukaryota,12440,0,12444,Rosellinia necatrix (White root-rot fungus)
2693,UP000002668,985895,LEPMJ,eukaryota,12608,0,12609,Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)
2695,UP000037904,179993,FUSLA,eukaryota,11939,0,11940,Fusarium langsethiae
2713,UP000253472,5486,None,eukaryota,10576,0,10841,Candida viswanathii
2719,UP000191342,254877,None,eukaryota,10875,0,10989,Penicillium flavigenum
2722,UP000622797,1208366,None,eukaryota,14826,0,14827,Fusarium sarcochroum
